Upc,Department,qty,cents,incltaxes,inclfees,Name,size,ebt,byweight,Fee Multiplier,cost_qty,cost_cents,variable_price,addstock,setstock,pack_name,pack_qty,pack_upc,unit_upc,unit_count,is_oneclick,oc_color,oc_border_color,oc_text_color,oc_fixedpos,oc_page,oc_key,oc_relpos
080686018094,Whiskey,1,2539,n,n,Jimmy Bean Double Oak,750ml,,n,1,1,1950,n,,6,,,,,,n,,,,,,,
080686021148,Whiskey,1,1979,n,n,Jim Beam Peach,750ML,n,n,1,1,1525,n,,6,,,,,,n,,,,,,,
080686021179,Whiskey,1,0,n,n,Jam Beam Peach,,,n,1,1,0,n,,0,,,,,,n,,,,,,,
080686021186,Whiskey,1,3119,n,n,JIM BEAM BBN PEACH 65,1.75LT,,n,1,1,2400,n,,6,,,,,,n,,,,,,,
080686021780,Whiskey,1,1829,n,n,Jim Beam Orange,750ml,n,n,1,1,2800,n,,0,,,,,,n,,,,,,,
080686036036,Whiskey,1,1625,n,n,TWISTED TEA WHISKEY,750 ML,n,n,1,1,1250,n,,0,,,,,,n,,,,,,,
080686042129,Whiskey,1,2319,n,n,Kessler Creek BBN 80 PET ,1.75L,,n,1,1,1782,n,,3,,,,,,n,,,,,,,
080686042402,Whiskey,1,0,n,n,Kessler,750 ml,,n,1,1,659,n,,0,,,,,,n,,,,,,,
080686122074,Gin,1,2535,n,n,Gilbay Gin,1.75L,n,n,1,1,1950,n,,3,,,,,,n,,,,,,,
080686125105,Vodka,1,2535,n,n,GILBEY'S VODKA,1.75 LITTER,n,n,1,1,1950,n,,3,,,,,,n,,,,,,,
080686140122,Alcohol,1,2599,n,n,RON RICO RUM GOLD 80 PET,1.75LT,,n,1,1,2000,n,,3,,,,,,n,,,,,,,
080686141129,Alcohol,1,2599,n,n,RON RICO RUM WHITE 80 PET,1.75LT,,n,1,1,2000,n,,3,,,,,,n,,,,,,,
080686160700,Vodka,1,0,n,n,Vodka,,,n,1,1,150,n,,0,,,,,,n,,,,,,,
080686294047,Whiskey,1,1989,n,n,2 Gingers,750ml,n,n,1,1,1425,n,,3,,,,,,n,,,,,,,
080686310013,Liqueurs,1,0,n,n,Dekuyper Amaretto 1L,1,,n,1,1,933,n,,0,,,,,,n,,,,,,,
080686315018,Brandy,1,1379,n,n,DKYPR BLKBRY 1L,1L,n,n,1,1,1067,n,,3,,,,,0,n,,,,,,,
080686316015,Liquor,1,1374,n,n,Blue Caraco,1L,n,n,1,1,1067,n,,3,,,,,,n,,,,,,,
080686316022,Liquor,1,1199,n,n,Blue curacao,750ML,n,n,1,1,749,n,,0,,,,,,n,,,,,,,
080686319207,Liquor,1,1379,n,n,Buttershoch Schanpps,1L,n,n,1,1,1067,n,,3,,,,,,n,,,,,,,
080686319405,Liqueurs,1,0,n,n,Dekuyper buttershots,750ML,,n,1,1,749,n,,0,,,,,,n,,,,,,,
080686320012,Alcohol,1,1379,n,n,DEKPR CREME DE COCOA 1 LTR,1L,n,n,1,1,1067,n,,3,,,,,0,n,,,,,,,
080686320036,Liquor,1,1299,n,n,Dekuyper creme de cocoa,750 ml,n,n,1,1,749,n,,0,,,,,,n,,,,,,,
080686321033,Liquor,1,1199,n,n,Dekuyper white cocoa,750 ml,n,n,1,1,749,n,,0,,,,,,n,,,,,,,
080686322405,Liquor,1,1199,n,n,DKYPR CACTUS JUC 1YR,BT,,n,1,1,1399,n,,0,,,,,,n,,,,,,,
080686333012,Liqueurs,1,0,n,n,CREME DE BANANA 1LTR,EA,,n,1,1,0,n,,0,,,,,,n,,,,,,,
080686339205,Alcohol,1,1379,n,n,dekuyper creme de cocoa,1L,n,n,1,1,1067,n,,3,,,,,0,n,,,,,,,
080686348207,Liquor,1,1428,n,n,Orange Curacao,1L,n,n,1,1,1099,n,,0,,,,,,n,,,,,,,
080686353201,Brandy,1,1379,n,n,DEKUYPER PEPPERMINT,1 L,n,n,1,1,925,n,,3,,,,,,n,,,,,,,
